CounterType,Threads,TicketsPerThread,ExecutionTimeNs,FinalValue
NO_THREAD_SAFE,8,10,416250,80
SYNCHRONIZED,8,10,1005083,80
ATOMIC,8,10,282125,80
NO_THREAD_SAFE,8,100,259667,800
SYNCHRONIZED,8,100,246666,800
ATOMIC,8,100,280208,800
NO_THREAD_SAFE,8,1000,238625,8000
SYNCHRONIZED,8,1000,252458,8000
ATOMIC,8,1000,230916,8000
NO_THREAD_SAFE,8,10000,259125,79895
SYNCHRONIZED,8,10000,3126208,80000
ATOMIC,8,10000,628375,80000
NO_THREAD_SAFE,8,1000000,17125375,1149917
SYNCHRONIZED,8,1000000,278389084,8000000
ATOMIC,8,1000000,347397917,8000000
